trade_id,timestamp,underlying,expiry,strike,option_type,side,quantity,price,reason
46,2022-11-01 09:16:19,BANKNIFTY,2022-11-03,41600,PE,SELL,1,342.70,ATM_SHIFT_41600->41700
47,2022-11-01 09:16:19,BANKNIFTY,2022-11-03,41700,CE,BUY,1,213.90,ATM_ENTER_41700
48,2022-11-01 09:16:19,BANKNIFTY,2022-11-03,41700,PE,BUY,1,396.60,ATM_ENTER_41700
49,2022-11-01 09:16:25,BANKNIFTY,2022-11-03,41700,CE,SELL,1,212.20,ATM_SHIFT_41700->41600
50,2022-11-01 09:16:25,BANKNIFTY,2022-11-03,41700,PE,SELL,1,401.45,ATM_SHIFT_41700->41600
51,2022-11-01 09:16:25,BANKNIFTY,2022-11-03,41600,CE,BUY,1,257.75,ATM_ENTER_41600
52,2022-11-01 09:16:25,BANKNIFTY,2022-11-03,41600,PE,BUY,1,345.95,ATM_ENTER_41600
53,2022-11-01 09:31:57,BANKNIFTY,2022-11-03,41600,CE,SELL,1,251.95,ATM_SHIFT_41600->41700
54,2022-11-01 09:31:57,BANKNIFTY,2022-11-03,41600,PE,SELL,1,335.15,ATM_SHIFT_41600->41700
55,2022-11-01 09:31:57,BANKNIFTY,2022-11-03,41700,CE,BUY,1,205.00,ATM_ENTER_41700
56,2022-11-01 09:31:57,BANKNIFTY,2022-11-03,41700,PE,BUY,1,389.20,ATM_ENTER_41700
57,2022-11-01 09:32:00,BANKNIFTY,2022-11-03,41700,CE,SELL,1,205.70,ATM_SHIFT_41700->41600
58,2022-11-01 09:32:00,BANKNIFTY,2022-11-03,41700,PE,SELL,1,389.55,ATM_SHIFT_41700->41600
59,2022-11-01 09:32:00,BANKNIFTY,2022-11-03,41600,CE,BUY,1,250.40,ATM_ENTER_41600
60,2022-11-01 09:32:00,BANKNIFTY,2022-11-03,41600,PE,BUY,1,335.05,ATM_ENTER_41600
61,2022-11-01 09:32:08,BANKNIFTY,2022-11-03,41600,CE,SELL,1,252.50,ATM_SHIFT_41600->41700
62,2022-11-01 09:32:08,BANKNIFTY,2022-11-03,41600,PE,SELL,1,333.20,ATM_SHIFT_41600->41700
63,2022-11-01 09:32:08,BANKNIFTY,2022-11-03,41700,CE,BUY,1,205.25,ATM_ENTER_41700
64,2022-11-01 09:32:08,BANKNIFTY,2022-11-03,41700,PE,BUY,1,386.05,ATM_ENTER_41700
65,2022-11-01 09:32:13,BANKNIFTY,2022-11-03,41700,CE,SELL,1,205.85,ATM_SHIFT_41700->41600
66,2022-11-01 09:32:13,BANKNIFTY,2022-11-03,41700,PE,SELL,1,387.90,ATM_SHIFT_41700->41600
67,2022-11-01 09:32:13,BANKNIFTY,2022-11-03,41600,CE,BUY,1,251.95,ATM_ENTER_41600
68,2022-11-01 09:32:13,BANKNIFTY,2022-11-03,41600,PE,BUY,1,333.95,ATM_ENTER_41600
69,2022-11-01 09:32:25,BANKNIFTY,2022-11-03,41600,CE,SELL,1,252.80,ATM_SHIFT_41600->41700
70,2022-11-01 09:32:25,BANKNIFTY,2022-11-03,41600,PE,SELL,1,332.10,ATM_SHIFT_41600->41700
71,2022-11-01 09:32:25,BANKNIFTY,2022-11-03,41700,CE,BUY,1,206.15,ATM_ENTER_41700
72,2022-11-01 09:32:25,BANKNIFTY,2022-11-03,41700,PE,BUY,1,386.05,ATM_ENTER_41700
73,2022-11-01 09:33:00,BANKNIFTY,2022-11-03,41700,CE,SELL,1,203.75,ATM_SHIFT_41700->41600
74,2022-11-01 09:33:00,BANKNIFTY,2022-11-03,41700,PE,SELL,1,387.65,ATM_SHIFT_41700->41600
75,2022-11-01 09:33:00,BANKNIFTY,2022-11-03,41600,CE,BUY,1,250.80,ATM_ENTER_41600
76,2022-11-01 09:33:00,BANKNIFTY,2022-11-03,41600,PE,BUY,1,333.10,ATM_ENTER_41600
77,2022-11-01 09:33:01,BANKNIFTY,2022-11-03,41600,CE,SELL,1,252.10,ATM_SHIFT_41600->41700
78,2022-11-01 09:33:01,BANKNIFTY,2022-11-03,41600,PE,SELL,1,332.25,ATM_SHIFT_41600->41700
79,2022-11-01 09:33:01,BANKNIFTY,2022-11-03,41700,CE,BUY,1,204.45,ATM_ENTER_41700
80,2022-11-01 09:33:01,BANKNIFTY,2022-11-03,41700,PE,BUY,1,385.85,ATM_ENTER_41700
81,2022-11-01 09:34:27,BANKNIFTY,2022-11-03,41700,CE,SELL,1,204.30,ATM_SHIFT_41700->41600
82,2022-11-01 09:34:27,BANKNIFTY,2022-11-03,41700,PE,SELL,1,389.00,ATM_SHIFT_41700->41600
83,2022-11-01 09:34:27,BANKNIFTY,2022-11-03,41600,CE,BUY,1,250.55,ATM_ENTER_41600
84,2022-11-01 09:34:27,BANKNIFTY,2022-11-03,41600,PE,BUY,1,335.50,ATM_ENTER_41600
85,2022-11-01 09:35:05,BANKNIFTY,2022-11-03,41600,CE,SELL,1,253.05,ATM_SHIFT_41600->41700
86,2022-11-01 09:35:05,BANKNIFTY,2022-11-03,41600,PE,SELL,1,331.00,ATM_SHIFT_41600->41700
87,2022-11-01 09:35:05,BANKNIFTY,2022-11-03,41700,CE,BUY,1,206.85,ATM_ENTER_41700
88,2022-11-01 09:35:05,BANKNIFTY,2022-11-03,41700,PE,BUY,1,384.65,ATM_ENTER_41700
89,2022-11-01 09:35:13,BANKNIFTY,2022-11-03,41700,CE,SELL,1,201.90,ATM_SHIFT_41700->41600
90,2022-11-01 09:35:13,BANKNIFTY,2022-11-03,41700,PE,SELL,1,392.00,ATM_SHIFT_41700->41600
91,2022-11-01 09:35:13,BANKNIFTY,2022-11-03,41600,CE,BUY,1,248.60,ATM_ENTER_41600
92,2022-11-01 09:35:13,BANKNIFTY,2022-11-03,41600,PE,BUY,1,337.40,ATM_ENTER_41600
93,2022-11-01 09:40:22,BANKNIFTY,2022-11-03,41600,CE,SELL,1,252.95,ATM_SHIFT_41600->41700
94,2022-11-01 09:40:22,BANKNIFTY,2022-11-03,41600,PE,SELL,1,332.45,ATM_SHIFT_41600->41700
95,2022-11-01 09:40:22,BANKNIFTY,2022-11-03,41700,CE,BUY,1,205.95,ATM_ENTER_41700
96,2022-11-01 09:40:22,BANKNIFTY,2022-11-03,41700,PE,BUY,1,386.20,ATM_ENTER_41700
97,2022-11-01 09:46:03,BANKNIFTY,2022-11-03,41700,CE,SELL,1,261.00,ATM_SHIFT_41700->41800
98,2022-11-01 09:46:03,BANKNIFTY,2022-11-03,41700,PE,SELL,1,345.00,ATM_SHIFT_41700->41800
99,2022-11-01 09:46:03,BANKNIFTY,2022-11-03,41800,CE,BUY,1,215.85,ATM_ENTER_41800
100,2022-11-01 09:46:03,BANKNIFTY,2022-11-03,41800,PE,BUY,1,400.00,ATM_ENTER_41800
101,2022-11-01 09:48:41,NIFTY,2022-11-03,18150,CE,SELL,1,84.00,ATM_SHIFT_18150->18200
102,2022-11-01 09:48:41,NIFTY,2022-11-03,18150,PE,SELL,1,99.45,ATM_SHIFT_18150->18200
103,2022-11-01 09:48:41,NIFTY,2022-11-03,18200,CE,BUY,1,60.60,ATM_ENTER_18200
104,2022-11-01 09:48:41,NIFTY,2022-11-03,18200,PE,BUY,1,127.00,ATM_ENTER_18200
105,2022-11-01 09:56:35,NIFTY,2022-11-03,18200,CE,SELL,1,61.55,ATM_SHIFT_18200->18150
106,2022-11-01 09:56:35,NIFTY,2022-11-03,18200,PE,SELL,1,127.35,ATM_SHIFT_18200->18150
107,2022-11-01 09:56:35,NIFTY,2022-11-03,18150,CE,BUY,1,85.05,ATM_ENTER_18150
108,2022-11-01 09:56:35,NIFTY,2022-11-03,18150,PE,BUY,1,100.80,ATM_ENTER_18150
109,2022-11-01 09:56:36,NIFTY,2022-11-03,18150,CE,SELL,1,85.70,ATM_SHIFT_18150->18200
110,2022-11-01 09:56:36,NIFTY,2022-11-03,18150,PE,SELL,1,100.25,ATM_SHIFT_18150->18200
111,2022-11-01 09:56:36,NIFTY,2022-11-03,18200,CE,BUY,1,62.00,ATM_ENTER_18200
112,2022-11-01 09:56:36,NIFTY,2022-11-03,18200,PE,BUY,1,127.00,ATM_ENTER_18200
113,2022-11-01 10:23:40,BANKNIFTY,2022-11-03,41800,CE,SELL,1,212.15,ATM_SHIFT_41800->41700
114,2022-11-01 10:23:40,BANKNIFTY,2022-11-03,41800,PE,SELL,1,402.75,ATM_SHIFT_41800->41700
115,2022-11-01 10:23:40,BANKNIFTY,2022-11-03,41700,CE,BUY,1,258.30,ATM_ENTER_41700
